route_id,country,region,step,longitude,latitude,trips_2025,spend_2025,change_pct
1,New Zealand,Oceania,0,174.78,-41.29,1302.842,2410.113,3.44
1,New Zealand,Oceania,1,158.5,-35.0,1302.842,2410.113,3.44
1,New Zealand,Oceania,2,133.78,-25.27,1302.842,2410.113,3.44
2,China,Asia,0,116.41,39.90,974.386,11246.266,17.54
2,China,Asia,1,122.0,10.0,974.386,11246.266,17.54
2,China,Asia,2,133.78,-25.27,974.386,11246.266,17.54
3,United Kingdom,Europe,0,-0.13,51.51,720.911,2870.210,19.22
3,United Kingdom,Europe,1,67.0,22.0,720.911,2870.210,19.22
3,United Kingdom,Europe,2,133.78,-25.27,720.911,2870.210,19.22
4,United States of America,North America,0,-118.24,34.05,696.948,2396.429,4.21
4,United States of America,North America,1,-170.0,-6.0,696.948,2396.429,4.21
4,United States of America,North America,2,133.78,-25.27,696.948,2396.429,4.21
5,India,Asia,0,77.21,28.61,429.170,1834.794,1.95
5,India,Asia,1,99.0,3.0,429.170,1834.794,1.95
5,India,Asia,2,133.78,-25.27,429.170,1834.794,1.95
6,Singapore,Asia,0,103.82,1.35,385.636,1122.304,6.92
6,Singapore,Asia,1,118.0,-8.0,385.636,1122.304,6.92
6,Singapore,Asia,2,133.78,-25.27,385.636,1122.304,6.92
7,Japan,Asia,0,139.69,35.69,385.175,1616.684,6.46
7,Japan,Asia,1,143.0,5.0,385.175,1616.684,6.46
7,Japan,Asia,2,133.78,-25.27,385.175,1616.684,6.46
8,Korea,Asia,0,126.98,37.57,362.551,1444.621,5.92
8,Korea,Asia,1,132.0,6.0,362.551,1444.621,5.92
8,Korea,Asia,2,133.78,-25.27,362.551,1444.621,5.92
9,Hong Kong,Asia,0,114.17,22.32,228.165,1127.792,14.79
9,Hong Kong,Asia,1,125.0,-1.5,228.165,1127.792,14.79
9,Hong Kong,Asia,2,133.78,-25.27,228.165,1127.792,14.79
10,Indonesia,Asia,0,106.85,-6.21,217.905,976.201,7.96
10,Indonesia,Asia,1,120.0,-14.0,217.905,976.201,7.96
10,Indonesia,Asia,2,133.78,-25.27,217.905,976.201,7.96
11,Malaysia,Asia,0,101.69,3.14,193.582,704.852,5.40
11,Malaysia,Asia,1,117.0,-7.0,193.582,704.852,5.40
11,Malaysia,Asia,2,133.78,-25.27,193.582,704.852,5.40
12,Philippines,Asia,0,120.98,14.60,179.346,607.696,9.17
12,Philippines,Asia,1,130.0,-3.0,179.346,607.696,9.17
12,Philippines,Asia,2,133.78,-25.27,179.346,607.696,9.17
