route_id,country,region,step,longitude,latitude,trips_2025,nights_2025,spend_2025,change_pct
1,New Zealand,Oceania,0,174.78,-41.29,1302.842,15401.636,2410.113,3.44
1,New Zealand,Oceania,1,158.5,-35,1302.842,15401.636,2410.113,3.44
1,New Zealand,Oceania,2,133.78,-25.27,1302.842,15401.636,2410.113,3.44
2,China,Asia,0,116.41,39.9,974.386,53413.947,11246.266,17.54
2,China,Asia,1,122,10,974.386,53413.947,11246.266,17.54
2,China,Asia,2,133.78,-25.27,974.386,53413.947,11246.266,17.54
3,United Kingdom,Europe,0,-0.13,51.51,720.911,28128.264,2870.21,19.22
3,United Kingdom,Europe,1,67,22,720.911,28128.264,2870.21,19.22
3,United Kingdom,Europe,2,133.78,-25.27,720.911,28128.264,2870.21,19.22
4,United States of America,North America,0,-118.24,34.05,696.948,12103.84,2396.429,4.21
4,United States of America,North America,1,-170,-6,696.948,12103.84,2396.429,4.21
4,United States of America,North America,2,133.78,-25.27,696.948,12103.84,2396.429,4.21
5,India,Asia,0,77.21,28.61,429.17,28355.199,1834.794,1.95
5,India,Asia,1,99,3,429.17,28355.199,1834.794,1.95
5,India,Asia,2,133.78,-25.27,429.17,28355.199,1834.794,1.95
6,Singapore,Asia,0,103.82,1.35,385.636,5949.233,1122.304,6.92
6,Singapore,Asia,1,118,-8,385.636,5949.233,1122.304,6.92
6,Singapore,Asia,2,133.78,-25.27,385.636,5949.233,1122.304,6.92
7,Japan,Asia,0,139.69,35.69,385.175,14561.725,1616.684,6.46
7,Japan,Asia,1,143,5,385.175,14561.725,1616.684,6.46
7,Japan,Asia,2,133.78,-25.27,385.175,14561.725,1616.684,6.46
8,Korea,Asia,0,126.98,37.57,362.551,9377.055,1444.621,5.92
8,Korea,Asia,1,132,6,362.551,9377.055,1444.621,5.92
8,Korea,Asia,2,133.78,-25.27,362.551,9377.055,1444.621,5.92
9,Hong Kong,Asia,0,114.17,22.32,228.165,6735.943,1127.792,14.79
9,Hong Kong,Asia,1,125,-1.5,228.165,6735.943,1127.792,14.79
9,Hong Kong,Asia,2,133.78,-25.27,228.165,6735.943,1127.792,14.79
10,Indonesia,Asia,0,106.85,-6.21,217.905,9531.275,976.201,7.96
10,Indonesia,Asia,1,120,-14,217.905,9531.275,976.201,7.96
10,Indonesia,Asia,2,133.78,-25.27,217.905,9531.275,976.201,7.96
11,Malaysia,Asia,0,101.69,3.14,193.582,5274.464,704.852,5.4
11,Malaysia,Asia,1,117,-7,193.582,5274.464,704.852,5.4
11,Malaysia,Asia,2,133.78,-25.27,193.582,5274.464,704.852,5.4
12,Philippines,Asia,0,120.98,14.6,179.346,10901.43,607.696,9.17
12,Philippines,Asia,1,130,-3,179.346,10901.43,607.696,9.17
12,Philippines,Asia,2,133.78,-25.27,179.346,10901.43,607.696,9.17
