rank,country,region,longitude,latitude,trips_2025,nights_2025,spend_2025,change_pct
1,New Zealand,Oceania,174.78,-41.29,1302.842,15401.636,2410.113,3.44
2,China,Asia,116.41,39.9,974.386,53413.947,11246.266,17.54
3,United Kingdom,Europe,-0.13,51.51,720.911,28128.264,2870.21,19.22
4,United States of America,North America,-118.24,34.05,696.948,12103.84,2396.429,4.21
5,India,Asia,77.21,28.61,429.17,28355.199,1834.794,1.95
6,Singapore,Asia,103.82,1.35,385.636,5949.233,1122.304,6.92
7,Japan,Asia,139.69,35.69,385.175,14561.725,1616.684,6.46
8,Korea,Asia,126.98,37.57,362.551,9377.055,1444.621,5.92
9,Hong Kong,Asia,114.17,22.32,228.165,6735.943,1127.792,14.79
10,Indonesia,Asia,106.85,-6.21,217.905,9531.275,976.201,7.96
11,Malaysia,Asia,101.69,3.14,193.582,5274.464,704.852,5.4
12,Philippines,Asia,120.98,14.6,179.346,10901.43,607.696,9.17
