spending_category,purpose,expenditure_2025_m,category_total_2025_m,purpose_total_2025_m,share_of_category_pct,share_within_purpose_pct
Airfares,Holiday,5560.261,13749.176,20139.532,40.44,27.61
Airfares,Visiting friends and relatives,4697.796,13749.176,10315.869,34.17,45.54
Airfares,Business,1474.759,13749.176,3577.118,10.73,41.23
Airfares,Education,929.785,13749.176,15715.906,6.76,5.92
Airfares,Other / employment,1086.575,13749.176,5924.851,7.9,18.34
Tours,Holiday,3178.352,4005.099,20139.532,79.36,15.78
Tours,Visiting friends and relatives,319.223,4005.099,10315.869,7.97,3.09
Tours,Business,256.803,4005.099,3577.118,6.41,7.18
Tours,Education,163.218,4005.099,15715.906,4.08,1.04
Tours,Other / employment,87.503,4005.099,5924.851,2.18,1.48
Transportation,Holiday,1239.169,2716.652,20139.532,45.61,6.15
Transportation,Visiting friends and relatives,502.918,2716.652,10315.869,18.51,4.88
Transportation,Business,176.388,2716.652,3577.118,6.49,4.93
Transportation,Education,428.309,2716.652,15715.906,15.77,2.73
Transportation,Other / employment,369.869,2716.652,5924.851,13.61,6.24
"Food, drink & accommodation",Holiday,7052.547,19000.199,20139.532,37.12,35.02
"Food, drink & accommodation",Visiting friends and relatives,2775.528,19000.199,10315.869,14.61,26.91
"Food, drink & accommodation",Business,1230.295,19000.199,3577.118,6.48,34.39
"Food, drink & accommodation",Education,4983.339,19000.199,15715.906,26.23,31.71
"Food, drink & accommodation",Other / employment,2958.489,19000.199,5924.851,15.57,49.93
Shopping,Holiday,1742.655,4424.088,20139.532,39.39,8.65
Shopping,Visiting friends and relatives,1257.271,4424.088,10315.869,28.42,12.19
Shopping,Business,216.327,4424.088,3577.118,4.89,6.05
Shopping,Education,752.385,4424.088,15715.906,17.01,4.79
Shopping,Other / employment,455.451,4424.088,5924.851,10.29,7.69
Entertainment,Holiday,480.191,1004.532,20139.532,47.8,2.38
Entertainment,Visiting friends and relatives,221.083,1004.532,10315.869,22.01,2.14
Entertainment,Business,22.857,1004.532,3577.118,2.28,0.64
Entertainment,Education,158.613,1004.532,15715.906,15.79,1.01
Entertainment,Other / employment,121.788,1004.532,5924.851,12.12,2.06
Education,Holiday,262.381,8510.936,20139.532,3.08,1.3
Education,Visiting friends and relatives,236.422,8510.936,10315.869,2.78,2.29
Education,Business,,8510.936,3577.118,,
Education,Education,7782.932,8510.936,15715.906,91.45,49.52
Education,Other / employment,178.56,8510.936,5924.851,2.1,3.01
Other Expenditure,Holiday,623.976,2262.594,20139.532,27.58,3.1
Other Expenditure,Visiting friends and relatives,305.629,2262.594,10315.869,13.51,2.96
Other Expenditure,Business,149.048,2262.594,3577.118,6.59,4.17
Other Expenditure,Education,517.326,2262.594,15715.906,22.86,3.29
Other Expenditure,Other / employment,666.616,2262.594,5924.851,29.46,11.25
